,College_Name,State,,
389,Institute of Technical Education and Research ,Orissa,,
390,"C. V. Raman Global University, Bhubaneswar ",Orissa,,
391,Veer Surendra Sai University of Technology ,Orissa,,
392,Biju Patnaik University of Technology ,Orissa,,
393,Centurion University of Technology and Management ,Orissa,,
394,International Institute of Information Technology ,Orissa,,
395,"Indira Gandhi Institute of Technology- [IGIT], Dhenkanal ",Orissa,,
396,Silicon Institute of Technology ,Orissa,,
397,Silicon Institute of Technology ,Orissa,,
398,Xavier University ,Orissa,,
399,Bhubaneswar Engineering College ,Orissa,,
400,College of Engineering ,Orissa,,
401,National Institute of Science and Technology ,Orissa,,
402,College of Engineering and Technology ,Orissa,,
403,Gandhi Institute for Technology ,Orissa,,
404,Orissa Engineering College ,Orissa,,
405,Parala Maharaja Engineering College ,Orissa,,
406,"CSIR-Institute of Minerals and Materials Technology -[CSIR-IMMT], ",Orissa,,
407,GITA Autonomous College ,Orissa,,
408,"Seemanta Engineering College, Mayurbhanj ",Orissa,,
409,"Trident Academy of Technology, Bhubaneswar ",Orissa,,
410,"Government College of Engineering, Kendujhar ",Orissa,,
411,CIPET: Centre for Skilling and Technical Support ,Orissa,,
412,"Vignan Institute of Technology And Management, Berhampur ",Orissa,,
413,Krupajal Engineering College ,Orissa,,
414,Indian Institute of Technology ,Uttarakhand,,
415,"Graphic Era University, School of Engineering and ",Uttarakhand,,
416,"College of Technology, GB Pant University of ",Uttarakhand,,
417,University of Petroleum and Energy Studies ,Uttarakhand,,
418,"Doon University, Dehradun ",Uttarakhand,,
419,DIT University ,Uttarakhand,,
420,Graphic Era University ,Uttarakhand,,
421,Graphic Era Hill University ,Uttarakhand,,
422,"ICFAI University, Dehradun ",Uttarakhand,,
423,"MotherHood University, Roorkee ",Uttarakhand,,
424,Himgiri Zee University ,Uttarakhand,,
425,Swami Rama Himalayan University ,Uttarakhand,,
426,"Tula's Institute, Dehradun ",Uttarakhand,,
427,THDC Institute of Hydro Power Engineering and ,Uttarakhand,,
428,College of Engineering ,Uttarakhand,,
429,Shivalik College of Engineering ,Uttarakhand,,
430,Women Institute of Technology ,Uttarakhand,,
431,Indian Institute of Aeronautical Engineering ,Uttarakhand,,
432,Indira Gandhi National Forest Academy ,Uttarakhand,,
433,"Bipin Tripathi Kumaon Institute of Technology, Almora ",Uttarakhand,,
434,Govind Ballabh Pant Engineering College ,Uttarakhand,,
435,BFIT Group of Institutions ,Uttarakhand,,
436,Dev Bhoomi Institute of Technology ,Uttarakhand,,
437,Graphic Era Hill University Bhimtal Campus ,Uttarakhand,,
438,Indian Institute of Technology ,Assam,,
439,National Institute of Technology ,Assam,,
440,Indian Institute of Information Technology ,Assam,,
441,Central Institute of Technology ,Assam,,
442,Assam Don Bosco University ,Assam,,
443,Assam Engineering College ,Assam,,
444,Jorhat Engineering College ,Assam,,
445,Assam Science and Technology University ,Assam,,
446,Assam Down Town University ,Assam,,
447,"Girijananda Chowdhury Institute of Management & Technology, ",Assam,,
448,Assam Engineering Institute ,Assam,,
449,"Bineswar Brahma Engineering College- [BBEC], Kokrajhar ",Assam,,
450,Jorhat Institute of Science and Technology ,Assam,,
451,NETES Institute of Technology and Science ,Assam,,
452,Don Bosco College of Engineering and Technology ,Assam,,
453,"Tezpur University, School of Engineering Tezpur, Sonitpur ",Assam,,
454,Barak Valley Engineering College ,Assam,,
455,Assam Institute of Technology ,Assam,,
456,Royal Global University ,Assam,,
457,Royal School of Engineering and Technology ,Assam,,
458,Scholar's Institute of Technology and Management ,Assam,,
459,"Dibrugarh University, Dibrugarh ",Assam,,
460,Tezpur University ,Assam,,
461,"B. Borooah College, Guwahati ",Assam,,
462,Gauhati University ,Assam,,
463,"Pragjyotish College, Guwahati ",Assam,,
464,"Duliajan College, Dibrugarh ",Assam,,
465,"Assam University, Silchar ",Assam,,
466,Kaziranga University ,Assam,,
467,Dibrugarh Polytechnic ,Assam,,
468,Indian Institute of Technology ,Bihar,,
469,National Institute of Technology ,Bihar,,
470,"Sandip University, Madhuban ",Bihar,,
471,Government Engineering College ,Bihar,,
472,"Amity University, Patna ",Bihar,,
473,Aryabhatta Knowledge University ,Bihar,,
474,Bhagalpur College of Engineering ,Bihar,,
475,Birla Institute of Technology ,Bihar,,
476,"Gaya College of Engineering, Gaya ",Bihar,,
477,Netaji Subhas Institute of Technology ,Bihar,,
478,Muzaffarpur Institute of Technology ,Bihar,,
479,Nalanda College of Engineering ,Bihar,,
480,Bakhtiyarpur College of Engineering ,Bihar,,
481,Darbhanga College of Engineering ,Bihar,,
482,Motihari College of Engineering ,Bihar,,
483,Central Institute of Plastics Engineering and Technology ,Bihar,,
484,Loknayak Jai Prakash Institute Of Technology ,Bihar,,
485,Purnea College of Engineering ,Bihar,,
486,Katihar Engineering College ,Bihar,,
487,Saharsa College of Engineering ,Bihar,,
488,Supaul College of Engineering ,Bihar,,
489,Millia Institute of Technology ,Bihar,,
490,"Sityog Institute of Technology, Aurangabad ",Bihar,,
491,Vidya Vihar Institute of Technology ,Bihar,,
492,Shershah College of Engineering ,Bihar,,
493,"RP Sharma Institute of Technology, Patna ",Bihar,,
494,Sitamarhi Institute of Technology ,Bihar,,
495,Government Engineering College ,Bihar,,
496,Maulana Azad College of Engineering and Technology ,Bihar,,
497,Rashtrakavi Ramdhari Singh Dinkar College of Engineering ,Bihar,,
498,National Institute of Technology ,Chhattisgarh,,
499,Indian Institute of Technology ,Chhattisgarh,,
500,"Amity University, Raipur ",Chhattisgarh,,
501,International Institute of Information Technology ,Chhattisgarh,,
502,"ITM University, Raipur ",Chhattisgarh,,
503,Bhilai Institute of Technology ,Chhattisgarh,,
504,Bhilai Institute of Technology ,Chhattisgarh,,
505,"Govt Engineering College, Bilaspur ",Chhattisgarh,,
506,OP Jindal University ,Chhattisgarh,,
507,Lakhmi Chand Institute of Technology ,Chhattisgarh,,
508,"ICFAI University, Raipur ",Chhattisgarh,,
509,Raipur Institute of Technology ,Chhattisgarh,,
510,Shri Shankaracharya Institute of Professional Management and ,Chhattisgarh,,
511,Chhatrapati Shivaji Institute of Technology ,Chhattisgarh,,
512,Shri Rawatpura Sarkar University ,Chhattisgarh,,
513,Government Engineering College ,Chhattisgarh,,
514,Columbia Institute of Engineering and Technology ,Chhattisgarh,,
515,AAFT University of Media and Arts ,Chhattisgarh,,
516,Chouksey Engineering College ,Chhattisgarh,,
517,Christian College of Engineering and Technology ,Chhattisgarh,,
518,Chhattisgarh Engineering College ,Chhattisgarh,,
519,Disha Institute of Management and Technology ,Chhattisgarh,,
520,Rungta College of Engineering and Technology ,Chhattisgarh,,
521,"Kirodimal Institute of Technology, Raigarh ",Chhattisgarh,,
522,Krishna Engineering College ,Chhattisgarh,,
523,RSR Rungta College of Engineering and Technology ,Chhattisgarh,,
524,Shri Shankaracharya Group of Institutions ,Chhattisgarh,,
525,Indian Institute of Technology ,Jharkhand,,
526,Birla Institute of Technology ,Jharkhand,,
527,National Institute of Technology ,Jharkhand,,
528,Birsa Institute of Technology ,Jharkhand,,
529,"RKDF University, Ranchi ",Jharkhand,,
530,YBN University ,Jharkhand,,
531,Indian Institute of Information Technology ,Jharkhand,,
532,"Sai Nath University, Ranchi ",Jharkhand,,
